Degree,Specialization,CGPA,JobRole,Programming,Internship,Projects,Certification,ProblemSolving
M.Tech,Data Science,8.65,Data Scientist,Python,Yes,5,Yes,High
MBA,Cyber Security,7.03,Cyber Security Analyst,Python,No,3,Yes,Medium
B.Sc,AI,8.43,AI Engineer,Python,Yes,2,Yes,Medium
MBA,Machine Learning,7.6,Data Scientist,Python,Yes,3,Yes,Medium
B.Tech,Information Security,8.51,Cyber Security Analyst,Python,Yes,5,Yes,High
MBA,Finance,8.79,Business Analyst,Python,Yes,3,Yes,High
MBA,Finance,8.74,Business Analyst,C++,Yes,4,No,High
B.Tech,AI,8.66,AI Engineer,Python,Yes,3,Yes,High
M.Sc,Information Security,6.29,Support Engineer,Python,No,1,No,Low
B.Tech,Information Security,7.54,Cyber Security Analyst,Python,Yes,3,No,Medium
BCA,Software Engineering,6.36,DevOps Engineer,Java,No,1,Yes,Low
BCA,AI,9.37,AI Engineer,Python,Yes,4,Yes,High
B.Tech,Electronics,8.05,Support Engineer,Python,Yes,2,Yes,Medium
B.Tech,Software Engineering,8.42,Software Developer,Java,Yes,3,No,Medium
BCA,CSE,7.68,DevOps Engineer,C++,Yes,2,Yes,Medium
M.Tech,Finance,6.99,Business Analyst,C++,No,1,No,Low
MBA,CSE,9.24,Software Developer,Java,Yes,3,No,High
B.Tech,Machine Learning,8.94,AI Engineer,Python,Yes,5,Yes,High
MCA,CSE,6.28,DevOps Engineer,Python,No,1,Yes,Low
M.Sc,IT,8.25,Cloud Engineer,Java,Yes,3,No,Medium
MBA,CSE,8.53,Software Developer,Java,Yes,5,Yes,High
M.Tech,AI,6.53,Data Scientist,Python,No,1,Yes,Low
MBA,Data Science,8.93,Data Scientist,Python,Yes,5,Yes,High
B.Tech,Data Science,7.92,Business Analyst,Python,Yes,2,Yes,Medium
MBA,Software Engineering,7.57,Software Developer,Java,Yes,2,Yes,Medium
MBA,Machine Learning,7.48,Data Scientist,Python,No,2,Yes,Medium
M.Tech,Information Security,7.49,Cyber Security Analyst,Python,No,3,Yes,Medium
B.Tech,AI,7.73,Data Scientist,Python,Yes,3,Yes,Medium
BBA,AI,7.31,Data Scientist,Python,No,3,Yes,Medium
B.Sc,Data Science,7.46,Business Analyst,Python,No,3,Yes,Medium
BCA,IT,8.08,Cloud Engineer,Java,Yes,2,No,Medium
BBA,Software Engineering,8.55,Software Developer,Java,Yes,4,No,High
B.Tech,Electronics,8.34,Support Engineer,C++,Yes,2,Yes,Medium
B.Tech,Electronics,7.26,Support Engineer,Python,No,2,No,Medium
B.Tech,Information Security,7.7,Cyber Security Analyst,Python,Yes,3,No,Medium
MCA,Cyber Security,8.92,Cyber Security Analyst,Python,Yes,5,Yes,High
MCA,Data Science,9.79,Data Scientist,Python,Yes,5,Yes,High
B.Tech,Information Security,7.48,Cyber Security Analyst,Python,No,2,No,Medium
MCA,AI,9.76,AI Engineer,Python,Yes,4,Yes,High
M.Tech,Finance,8.26,Business Analyst,Python,Yes,2,Yes,Medium
B.Tech,Finance,7.69,Business Analyst,C++,Yes,2,Yes,Medium
B.Tech,AI,6.82,Data Scientist,Python,No,1,Yes,Low
MCA,Machine Learning,8.71,AI Engineer,Python,Yes,5,Yes,High
M.Sc,AI,8.13,AI Engineer,Python,Yes,2,Yes,Medium
B.Tech,IT,6.46,Support Engineer,Python,No,0,No,Low
B.Tech,Finance,7.98,Business Analyst,Java,Yes,3,No,Medium
BBA,Electronics,7.37,Support Engineer,C++,No,3,Yes,Medium
M.Tech,IT,9.77,Cloud Engineer,Java,Yes,3,No,High
BCA,Electronics,8.56,Support Engineer,C++,Yes,3,Yes,High
BBA,Data Science,7.33,Business Analyst,Python,No,2,Yes,Medium
M.Sc,AI,6.05,Data Scientist,Python,No,0,Yes,Low
B.Tech,IT,9.21,Cloud Engineer,C++,Yes,4,Yes,High
MCA,AI,7.33,Data Scientist,Python,No,2,Yes,Medium
M.Sc,CSE,8.16,DevOps Engineer,Python,Yes,3,No,Medium
MBA,Machine Learning,8.29,AI Engineer,Python,Yes,3,Yes,Medium
MBA,Software Engineering,8.89,Software Developer,Java,Yes,4,No,High
M.Sc,Machine Learning,8.11,Data Scientist,Python,Yes,3,Yes,Medium
B.Tech,Electronics,9.68,Cloud Engineer,Java,Yes,5,No,High
B.Tech,Information Security,9.89,Cyber Security Analyst,Python,Yes,4,Yes,High
M.Tech,Electronics,8.18,Support Engineer,Java,Yes,2,No,Medium
B.Sc,Information Security,9.63,Cyber Security Analyst,Python,Yes,4,Yes,High
B.Sc,Cyber Security,6.31,Support Engineer,Python,No,1,Yes,Low
BCA,CSE,8.66,Software Developer,C++,Yes,4,No,High
